destination,amount,duration
Azerbaijan,164.09,661.67
Bulgaria,20.47,639.52
Canada,10.99,732.22
France,28.96,1503.15
Germany,31.15,1575.67
Italy,0.22,7.97
Kazakhstan,438.78,3536.67
Moldova,4.07,22.10
Norway,5.68,202.88
Russian Federation,2301.18,10957.35
Saudi Arabia,77.54,738.50
Spain,152.00,3985.23
Sweden,13.22,777.50
Switzerland,4.82,58.72
Turkey,5.76,31.45
United States,1.60,49.83
